item_id,title
165,Jean de Florette (1986)
690,Seven Years in Tibet (1997)
248,Grosse Pointe Blank (1997)
1444,That Darn Cat! (1965)
5,Copycat (1995)
229,Star Trek III: The Search for Spock (1984)
237,Jerry Maguire (1996)
480,North by Northwest (1959)
54,Outbreak (1995)
366,Dangerous Minds (1995)
518,Miller's Crossing (1990)
403,Batman (1989)
111,"Truth About Cats & Dogs, The (1996)"
625,"Sword in the Stone, The (1963)"
338,Bean (1997)
25,"Birdcage, The (1996)"
1016,Con Air (1997)
154,Monty Python's Life of Brian (1979)
275,Sense and Sensibility (1995)
1153,Backbeat (1993)
498,"African Queen, The (1951)"
382,"Adventures of Priscilla, Queen of the Desert, The (1994)"
209,This Is Spinal Tap (1984)
23,Taxi Driver (1976)
294,Liar Liar (1997)
208,Young Frankenstein (1974)
685,Executive Decision (1996)
328,Conspiracy Theory (1997)
496,It's a Wonderful Life (1946)
132,"Wizard of Oz, The (1939)"
174,Raiders of the Lost Ark (1981)
96,Terminator 2: Judgment Day (1991)
151,Willy Wonka and the Chocolate Factory (1971)
307,"Devil's Advocate, The (1997)"
648,"Quiet Man, The (1952)"
21,Muppet Treasure Island (1996)
832,Bogus (1996)
514,Annie Hall (1977)
789,Swimming with Sharks (1995)
485,My Fair Lady (1964)
317,In the Name of the Father (1993)
195,"Terminator, The (1984)"
200,"Shining, The (1980)"
385,True Lies (1994)
750,Amistad (1997)
264,Mimic (1997)
245,"Devil's Own, The (1997)"
135,2001: A Space Odyssey (1968)
1147,My Family (1995)
471,Courage Under Fire (1996)
658,Pump Up the Volume (1990)
140,Homeward Bound: The Incredible Journey (1993)
379,Tales From the Crypt Presents: Demon Knight (1995)
815,One Fine Day (1996)
479,Vertigo (1958)
368,Bio-Dome (1996)
1211,Blue Sky (1994)
1134,Get on the Bus (1996)
836,Ninotchka (1939)
272,Good Will Hunting (1997)
756,Father of the Bride Part II (1995)
787,Roommates (1995)
14,"Postino, Il (1994)"
955,Before Sunrise (1995)
419,Mary Poppins (1964)
405,Mission: Impossible (1996)
504,Bonnie and Clyde (1967)
466,Red Rock West (1992)
268,Chasing Amy (1997)
117,"Rock, The (1996)"
273,Heat (1995)
559,Interview with the Vampire (1994)
794,It Could Happen to You (1994)
323,Dante's Peak (1997)
177,"Good, The Bad and The Ugly, The (1966)"
231,Batman Returns (1992)
2,GoldenEye (1995)
137,Big Night (1996)
1336,Kazaam (1996)
164,"Abyss, The (1989)"
281,"River Wild, The (1994)"
1240,Ghost in the Shell (Kokaku kidotai) (1995)
298,Face/Off (1997)
443,"Birds, The (1963)"
1035,Cool Runnings (1993)
79,"Fugitive, The (1993)"
258,Contact (1997)
455,Jackie Chan's First Strike (1996)
755,Jumanji (1995)
673,Cape Fear (1962)
172,"Empire Strikes Back, The (1980)"
1217,Assassins (1995)
719,Canadian Bacon (1994)
1267,Clockers (1995)
930,Chain Reaction (1996)
216,When Harry Met Sally... (1989)
1079,Joe's Apartment (1996)
452,Jaws 2 (1978)
61,Three Colors: White (1994)
48,Hoop Dreams (1994)
360,Wonderland (1997)
77,"Firm, The (1993)"
476,"First Wives Club, The (1996)"
483,Casablanca (1942)
748,"Saint, The (1997)"
220,"Mirror Has Two Faces, The (1996)"
255,My Best Friend's Wedding (1997)
280,Up Close and Personal (1996)
202,Groundhog Day (1993)
408,"Close Shave, A (1995)"
235,Mars Attacks! (1996)
228,Star Trek: The Wrath of Khan (1982)
1098,Flirting With Disaster (1996)
347,Wag the Dog (1997)
178,12 Angry Men (1957)
478,"Philadelphia Story, The (1940)"
688,Leave It to Beaver (1997)
10,Richard III (1995)
127,"Godfather, The (1972)"
106,Diabolique (1996)
69,Forrest Gump (1994)
944,Renaissance Man (1994)
790,Tommy Boy (1995)
1091,Pete's Dragon (1977)
214,Pink Floyd - The Wall (1982)
1028,Grumpier Old Men (1995)
554,Waterworld (1995)
109,Mystery Science Theater 3000: The Movie (1996)
171,Delicatessen (1991)
318,Schindler's List (1993)
568,Speed (1994)
842,Pollyanna (1960)
65,What's Eating Gilbert Grape (1993)
591,Primal Fear (1996)
401,"Brady Bunch Movie, The (1995)"
339,Mad City (1997)
746,Real Genius (1985)
68,"Crow, The (1994)"
7,Twelve Monkeys (1995)
1018,Tie Me Up! Tie Me Down! (1990)
218,Cape Fear (1991)
623,Angels in the Outfield (1994)
334,U Turn (1997)
344,"Apostle, The (1997)"
145,"Lawnmower Man, The (1992)"
56,Pulp Fiction (1994)
89,Blade Runner (1982)
141,"20,000 Leagues Under the Sea (1954)"
576,Cliffhanger (1993)
133,Gone with the Wind (1939)
153,"Fish Called Wanda, A (1988)"
813,"Celluloid Closet, The (1995)"
872,Love Jones (1997)
146,Unhook the Stars (1996)
507,"Streetcar Named Desire, A (1951)"
367,Clueless (1995)
468,Rudy (1993)
595,"Fan, The (1996)"
11,Seven (Se7en) (1995)
520,"Great Escape, The (1963)"
82,Jurassic Park (1993)
501,Dumbo (1941)
3,Four Rooms (1995)
695,Kicking and Screaming (1995)
198,Nikita (La Femme Nikita) (1990)
189,"Grand Day Out, A (1992)"
767,"Addiction, The (1995)"
705,Singin' in the Rain (1952)
64,"Shawshank Redemption, The (1994)"
357,One Flew Over the Cuckoo's Nest (1975)
484,"Maltese Falcon, The (1941)"
508,"People vs. Larry Flynt, The (1996)"
303,Ulee's Gold (1997)
215,Field of Dreams (1989)
749,"MatchMaker, The (1997)"
829,Fled (1996)
204,Back to the Future (1985)
1295,Kicked in the Head (1997)
33,Desperado (1995)
160,Glengarry Glen Ross (1992)
321,Mother (1996)
343,Alien: Resurrection (1997)
227,Star Trek VI: The Undiscovered Country (1991)
191,Amadeus (1984)
903,Afterglow (1997)
183,Alien (1979)
724,Circle of Friends (1995)
430,Duck Soup (1933)
1197,"Family Thing, A (1996)"
134,Citizen Kane (1941)
751,Tomorrow Never Dies (1997)
212,"Unbearable Lightness of Being, The (1988)"
256,When the Cats Away (Chacun cherche son chat) (1996)
662,Somewhere in Time (1980)
984,Shadow Conspiracy (1997)
1067,Bottle Rocket (1996)
410,Kingpin (1996)
879,"Peacemaker, The (1997)"
271,Starship Troopers (1997)
1086,It's My Party (1995)
649,Once Upon a Time in America (1984)
951,"Indian in the Cupboard, The (1995)"
197,"Graduate, The (1967)"
678,Volcano (1997)
199,"Bridge on the River Kwai, The (1957)"
709,Strictly Ballroom (1992)
169,"Wrong Trousers, The (1993)"
597,Eraser (1996)
1393,Stag (1997)
333,"Game, The (1997)"
1115,Twelfth Night (1996)
577,Coneheads (1993)
378,Miracle on 34th Street (1994)
425,Bob Roberts (1992)
959,Dazed and Confused (1993)
1224,"Scout, The (1994)"
1017,Trees Lounge (1996)
175,Brazil (1985)
286,"English Patient, The (1996)"
558,Heavenly Creatures (1994)
66,While You Were Sleeping (1995)
206,Akira (1988)
402,Ghost (1990)
640,"Cook the Thief His Wife & Her Lover, The (1989)"
522,Down by Law (1986)
62,Stargate (1994)
12,"Usual Suspects, The (1995)"
291,Absolute Power (1997)
462,Like Water For Chocolate (Como agua para chocolate) (1992)
612,Lost Horizon (1937)
758,Lawnmower Man 2: Beyond Cyberspace (1996)
845,That Thing You Do! (1996)
163,"Return of the Pink Panther, The (1974)"
1451,Foreign Correspondent (1940)
250,"Fifth Element, The (1997)"
823,Mulholland Falls (1996)
186,"Blues Brothers, The (1980)"
731,"Corrina, Corrina (1994)"
71,"Lion King, The (1994)"
781,French Kiss (1995)
176,Aliens (1986)
1181,"Low Down Dirty Shame, A (1994)"
78,Free Willy (1993)
436,"American Werewolf in London, An (1981)"
631,"Crying Game, The (1992)"
716,Home for the Holidays (1995)
188,Full Metal Jacket (1987)
699,Little Women (1994)
604,It Happened One Night (1934)
97,Dances with Wolves (1990)
173,"Princess Bride, The (1987)"
460,"Crossing Guard, The (1995)"
715,To Die For (1995)
17,From Dusk Till Dawn (1996)
315,Apt Pupil (1998)
505,Dial M for Murder (1954)
279,Once Upon a Time... When We Were Colored (1995)
80,Hot Shots! Part Deux (1993)
238,Raising Arizona (1987)
60,Three Colors: Blue (1993)
325,Crash (1996)
407,Spy Hard (1996)
531,Shine (1996)
587,"Hour of the Pig, The (1993)"
892,Flubber (1997)
1047,Multiplicity (1996)
47,Ed Wood (1994)
217,Bram Stoker's Dracula (1992)
259,George of the Jungle (1997)
596,"Hunchback of Notre Dame, The (1996)"
960,Naked (1993)
211,M*A*S*H (1970)
938,"Smile Like Yours, A (1997)"
1060,"Adventures of Pinocchio, The (1996)"
404,Pinocchio (1940)
305,"Ice Storm, The (1997)"
210,Indiana Jones and the Last Crusade (1989)
278,Bed of Roses (1996)
770,Devil in a Blue Dress (1995)
252,"Lost World: Jurassic Park, The (1997)"
156,Reservoir Dogs (1992)
1110,Tank Girl (1995)
350,Fallen (1998)
431,Highlander (1986)
475,Trainspotting (1996)
182,GoodFellas (1990)
50,Star Wars (1977)
365,Powder (1995)
187,"Godfather: Part II, The (1974)"
289,Evita (1996)
185,Psycho (1960)
712,Tin Men (1987)
94,Home Alone (1990)
742,Ransom (1996)
762,Beautiful Girls (1996)
732,Dave (1993)
168,Monty Python and the Holy Grail (1974)
550,Die Hard: With a Vengeance (1995)
849,Days of Thunder (1990)
406,Thinner (1996)
150,Swingers (1996)
869,Fools Rush In (1997)
184,Army of Darkness (1993)
371,"Bridges of Madison County, The (1995)"
720,First Knight (1995)
873,Picture Perfect (1997)
381,Muriel's Wedding (1994)
922,Dead Man (1995)
57,Priest (1994)
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
370,Mary Reilly (1996)
249,Austin Powers: International Man of Mystery (1997)
721,Mallrats (1995)
611,Laura (1944)
142,Bedknobs and Broomsticks (1971)
943,Killing Zoe (1994)
126,"Spitfire Grill, The (1996)"
824,"Great White Hype, The (1996)"
8,Babe (1995)
58,Quiz Show (1994)
680,Kull the Conqueror (1997)
741,"Last Supper, The (1995)"
1061,"Evening Star, The (1996)"
448,"Omen, The (1976)"
900,Kundun (1997)
941,With Honors (1994)
905,Great Expectations (1998)
1497,"Line King: Al Hirschfeld, The (1996)"
55,"Professional, The (1994)"
744,Michael Collins (1996)
642,"Grifters, The (1990)"
1015,Shiloh (1997)
121,Independence Day (ID4) (1996)
301,In & Out (1997)
81,"Hudsucker Proxy, The (1994)"
284,Tin Cup (1996)
740,Jane Eyre (1996)
22,Braveheart (1995)
864,My Fellow Americans (1996)
1099,"Red Firecracker, Green Firecracker (1994)"
961,Orlando (1993)
812,Andre (1994)
240,Beavis and Butt-head Do America (1996)
376,Houseguest (1994)
931,"Island of Dr. Moreau, The (1996)"
717,"Juror, The (1996)"
399,"Three Musketeers, The (1993)"
1039,Hamlet (1996)
1114,Faithful (1996)
292,Rosewood (1997)
561,Mary Shelley's Frankenstein (1994)
901,Mr. Magoo (1997)
70,Four Weddings and a Funeral (1994)
417,"Parent Trap, The (1961)"
809,Rising Sun (1993)
540,Money Train (1995)
293,Donnie Brasco (1997)
497,Bringing Up Baby (1938)
1462,"Thieves (Voleurs, Les) (1996)"
1246,Bushwhacked (1995)
655,Stand by Me (1986)
13,Mighty Aphrodite (1995)
588,Beauty and the Beast (1991)
409,Jack (1996)
739,Pretty Woman (1990)
661,High Noon (1952)
665,Alien 3 (1992)
692,"American President, The (1995)"
439,Amityville: A New Generation (1993)
632,Sophie's Choice (1982)
1198,Purple Noon (1960)
609,Father of the Bride (1950)
225,101 Dalmatians (1996)
128,Supercop (1992)
866,Michael (1996)
295,Breakdown (1997)
49,I.Q. (1994)
626,So Dear to My Heart (1949)
707,Enchanted April (1991)
586,Terminal Velocity (1994)
593,Stalingrad (1993)
147,"Long Kiss Goodnight, The (1996)"
1220,Higher Learning (1995)
492,East of Eden (1955)
620,"Chamber, The (1996)"
161,Top Gun (1986)
1070,Living in Oblivion (1995)
449,Star Trek: The Motion Picture (1979)
948,Booty Call (1997)
509,My Left Foot (1989)
870,Touch (1997)
39,Strange Days (1995)
1100,What Happened Was... (1994)
820,Space Jam (1996)
660,Fried Green Tomatoes (1991)
1022,"Fast, Cheap & Out of Control (1997)"
120,Striptease (1996)
780,Dumb & Dumber (1994)
44,Dolores Claiborne (1994)
686,"Perfect World, A (1993)"
28,Apollo 13 (1995)
729,Nell (1994)
52,"Madness of King George, The (1994)"
230,Star Trek IV: The Voyage Home (1986)
506,Rebel Without a Cause (1955)
566,Clear and Present Danger (1994)
774,"Prophecy, The (1995)"
1003,That Darn Cat! (1997)
433,Heathers (1989)
99,Snow White and the Seven Dwarfs (1937)
1288,Denise Calls Up (1995)
190,Henry V (1989)
1010,Basquiat (1996)
877,Excess Baggage (1997)
487,Roman Holiday (1953)
1052,Dracula: Dead and Loving It (1995)
287,Marvin's Room (1996)
659,Arsenic and Old Lace (1944)
927,"Flower of My Secret, The (Flor de mi secreto, La) (1995)"
696,City Hall (1996)
269,"Full Monty, The (1997)"
179,"Clockwork Orange, A (1971)"
440,Amityville II: The Possession (1982)
806,Menace II Society (1993)
572,Blown Away (1994)
654,Chinatown (1974)
324,Lost Highway (1997)
736,Shadowlands (1993)
92,True Romance (1993)
461,Smoke (1995)
129,Bound (1996)
9,Dead Man Walking (1995)
152,Sleeper (1973)
233,Under Siege (1992)
589,"Wild Bunch, The (1969)"
203,Unforgiven (1992)
1034,"Quest, The (1996)"
923,Raise the Red Lantern (1991)
463,"Secret of Roan Inish, The (1994)"
122,"Cable Guy, The (1996)"
310,"Rainmaker, The (1997)"
285,Secrets & Lies (1996)
447,Carrie (1976)
412,"Very Brady Sequel, A (1996)"
1428,SubUrbia (1997)
977,"Substitute, The (1996)"
1065,Koyaanisqatsi (1983)
421,William Shakespeare's Romeo and Juliet (1996)
937,"Thousand Acres, A (1997)"
583,Romeo Is Bleeding (1993)
110,Operation Dumbo Drop (1995)
251,Shall We Dance? (1996)
831,Escape from L.A. (1996)
543,"Misérables, Les (1995)"
926,Down Periscope (1996)
155,Dirty Dancing (1987)
53,Natural Born Killers (1994)
393,Mrs. Doubtfire (1993)
91,"Nightmare Before Christmas, The (1993)"
477,Matilda (1996)
472,Dragonheart (1996)
761,Nick of Time (1995)
1286,Shall We Dance? (1937)
93,Welcome to the Dollhouse (1995)
644,"Thin Blue Line, The (1988)"
982,Maximum Risk (1996)
491,"Adventures of Robin Hood, The (1938)"
511,Lawrence of Arabia (1962)
397,Striking Distance (1993)
162,On Golden Pond (1981)
513,"Third Man, The (1949)"
375,Showgirls (1995)
38,"Net, The (1995)"
418,Cinderella (1950)
858,Amityville: Dollhouse (1996)
131,Breakfast at Tiffany's (1961)
87,Searching for Bobby Fischer (1993)
725,Exit to Eden (1994)
72,"Mask, The (1994)"
663,Being There (1979)
1133,Escape to Witch Mountain (1975)
125,Phenomenon (1996)
1248,Blink (1994)
354,"Wedding Singer, The (1998)"
105,Sgt. Bilko (1996)
73,Maverick (1994)
239,Sneakers (1992)
860,"Believers, The (1987)"
1046,Malice (1993)
1178,Major Payne (1994)
523,Cool Hand Luke (1967)
634,Microcosmos: Le peuple de l'herbe (1996)
1245,Gridlock'd (1997)
974,Eye for an Eye (1996)
619,Extreme Measures (1996)
107,Moll Flanders (1996)
213,"Room with a View, A (1986)"
319,Everyone Says I Love You (1996)
963,Some Folks Call It a Sling Blade (1993)
875,She's So Lovely (1997)
180,Apocalypse Now (1979)
1033,Homeward Bound II: Lost in San Francisco (1996)
380,Star Trek: Generations (1994)
59,Three Colors: Red (1994)
1078,Oliver & Company (1988)
585,Son in Law (1993)
148,"Ghost and the Darkness, The (1996)"
683,Rocket Man (1997)
454,Bastard Out of Carolina (1996)
737,Sirens (1994)
524,"Great Dictator, The (1940)"
995,"Kiss Me, Guido (1997)"
616,Night of the Living Dead (1968)
945,Charade (1963)
299,Hoodlum (1997)
792,Bullets Over Broadway (1994)
708,"Sex, Lies, and Videotape (1989)"
950,Georgia (1995)
27,Bad Boys (1995)
747,Benny & Joon (1993)
85,"Ref, The (1994)"
516,Local Hero (1983)
1063,"Little Princess, A (1995)"
682,I Know What You Did Last Summer (1997)
221,Breaking the Waves (1996)
1150,Last Dance (1996)
847,Looking for Richard (1996)
138,D3: The Mighty Ducks (1996)
517,Manhattan (1979)
283,Emma (1996)
602,"American in Paris, An (1951)"
573,Body Snatchers (1993)
617,"Blue Angel, The (Blaue Engel, Der) (1930)"
569,Wolf (1994)
1332,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)
703,Widows' Peak (1994)
386,Addams Family Values (1993)
331,"Edge, The (1997)"
355,Sphere (1998)
949,How to Make an American Quilt (1995)
488,Sunset Blvd. (1950)
114,Wallace & Gromit: The Best of Aardman Animation (1996)
24,Rumble in the Bronx (1995)
763,Happy Gilmore (1996)
43,Disclosure (1994)
953,Unstrung Heroes (1995)
670,Body Snatchers (1993)
510,"Magnificent Seven, The (1954)"
372,Jeffrey (1995)
335,How to Be a Player (1997)
779,Drop Zone (1994)
435,Butch Cassidy and the Sundance Kid (1969)
223,Sling Blade (1996)
1334,Somebody to Love (1994)
835,"Gay Divorcee, The (1934)"
1327,Captives (1994)
263,Steel (1997)
450,Star Trek V: The Final Frontier (1989)
651,Glory (1989)
316,As Good As It Gets (1997)
929,Harriet the Spy (1996)
580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
1041,Forget Paris (1995)
424,Children of the Corn: The Gathering (1996)
429,"Day the Earth Stood Still, The (1951)"
868,Hearts and Minds (1996)
1161,Palookaville (1996)
166,Manon of the Spring (Manon des sources) (1986)
1162,Phat Beach (1996)
1019,"Die xue shuang xiong (Killer, The) (1989)"
908,Half Baked (1998)
1160,Love! Valour! Compassion! (1997)
676,"Crucible, The (1996)"
1012,Private Parts (1997)
1209,Mixed Nuts (1994)
693,Casino (1995)
282,"Time to Kill, A (1996)"
253,"Pillow Book, The (1995)"
428,Harold and Maude (1971)
1350,Crows and Sparrows (1949)
363,Sudden Death (1995)
300,Air Force One (1997)
1346,Dingo (1992)
1119,Some Kind of Wonderful (1987)
674,Cat People (1982)
411,"Nutty Professor, The (1996)"
527,Gandhi (1982)
1397,Of Human Bondage (1934)
807,Poetic Justice (1993)
657,"Manchurian Candidate, The (1962)"
1142,When We Were Kings (1996)
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
426,"Transformers: The Movie, The (1986)"
1109,Death and the Maiden (1994)
116,Cold Comfort Farm (1995)
898,"Postman, The (1997)"
723,Boys on the Side (1995)
243,Jungle2Jungle (1997)
582,"Piano, The (1993)"
778,Don Juan DeMarco (1995)
308,FairyTale: A True Story (1997)
1007,Waiting for Guffman (1996)
641,Paths of Glory (1957)
1165,Big Bully (1996)
764,If Lucy Fell (1996)
1011,2 Days in the Valley (1996)
1101,Six Degrees of Separation (1993)
396,Serial Mom (1994)
1260,Total Eclipse (1995)
904,Ma vie en rose (My Life in Pink) (1997)
312,Midnight in the Garden of Good and Evil (1997)
1048,She's the One (1996)
627,Robin Hood: Prince of Thieves (1991)
571,Another Stakeout (1993)
552,Species (1995)
1278,Selena (1997)
499,Cat on a Hot Tin Roof (1958)
1186,"Inkwell, The (1994)"
1057,"Pallbearer, The (1996)"
207,Cyrano de Bergerac (1990)
309,Deceiver (1997)
671,Bride of Frankenstein (1935)
83,Much Ado About Nothing (1993)
482,Some Like It Hot (1959)
276,Leaving Las Vegas (1995)
1094,"Thin Line Between Love and Hate, A (1996)"
647,Ran (1985)
578,Demolition Man (1993)
1021,8 1/2 (1963)
886,"Life Less Ordinary, A (1997)"
1151,Original Gangstas (1996)
855,Diva (1981)
942,What's Love Got to Do with It (1993)
826,"Phantom, The (1996)"
1044,"Paper, The (1994)"
254,Batman & Robin (1997)
290,Fierce Creatures (1997)
848,"Murder, My Sweet (1944)"
542,Pocahontas (1995)
581,Kalifornia (1993)
1229,Poison Ivy II (1995)
718,In the Bleak Midwinter (1995)
337,"House of Yes, The (1997)"
1107,Beyond Rangoon (1995)
539,Mouse Hunt (1997)
821,Mrs. Winterbourne (1996)
364,Ace Ventura: When Nature Calls (1995)
553,"Walk in the Clouds, A (1995)"
313,Titanic (1997)
1218,Friday (1995)
115,"Haunted World of Edward D. Wood Jr., The (1995)"
1129,Chungking Express (1994)
493,"Thin Man, The (1934)"
36,Mad Love (1995)
205,Patton (1970)
102,"Aristocats, The (1970)"
1249,For Love or Money (1993)
773,Mute Witness (1994)
494,His Girl Friday (1940)
192,Raging Bull (1980)
687,McHale's Navy (1997)
772,Kids (1995)
921,Farewell My Concubine (1993)
42,Clerks (1994)
469,Short Cuts (1993)
874,Career Girls (1997)
1216,Kissed (1996)
1139,Hackers (1995)
547,"Young Poisoner's Handbook, The (1995)"
157,Platoon (1986)
1208,Kiss of Death (1995)
1157,"Relic, The (1997)"
808,"Program, The (1993)"
906,Oscar & Lucinda (1997)
535,Addicted to Love (1997)
470,Tombstone (1993)
714,Carrington (1995)
939,Murder in the First (1995)
738,Threesome (1994)
525,"Big Sleep, The (1946)"
340,Boogie Nights (1997)
1037,Grease 2 (1982)
530,"Man Who Would Be King, The (1975)"
528,"Killing Fields, The (1984)"
754,Red Corner (1997)
1436,Mr. Jones (1993)
771,Johnny Mnemonic (1995)
226,Die Hard 2 (1990)
1383,"Second Jungle Book: Mowgli & Baloo, The (1997)"
745,"Ruling Class, The (1972)"
1316,"Horse Whisperer, The (1998)"
846,To Gillian on Her 37th Birthday (1996)
605,Meet Me in St. Louis (1944)
575,City Slickers II: The Legend of Curly's Gold (1994)
1284,Before and After (1996)
1298,"Band Wagon, The (1953)"
529,My Life as a Dog (Mitt liv som hund) (1985)
743,"Crow: City of Angels, The (1996)"
840,Last Man Standing (1996)
244,Smilla's Sense of Snow (1997)
760,Screamers (1995)
1006,Until the End of the World (Bis ans Ende der Welt) (1991)
1228,Under Siege 2: Dark Territory (1995)
1095,High School High (1996)
34,"Doom Generation, The (1995)"
103,All Dogs Go to Heaven 2 (1996)
441,"Amityville Horror, The (1979)"
90,So I Married an Axe Murderer (1993)
1005,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)"
863,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)"
473,James and the Giant Peach (1996)
1281,Manny & Lo (1996)
356,"Client, The (1994)"
630,"Great Race, The (1965)"
793,Crooklyn (1994)
766,Man of the Year (1995)
1206,Amos & Andrew (1993)
1342,"Convent, The (Convento, O) (1995)"
980,Mother Night (1996)
1263,Foxfire (1996)
1376,Meet Wally Sparks (1997)
1182,Cops and Robbersons (1994)
457,Free Willy 3: The Rescue (1997)
710,Better Off Dead... (1985)
615,"39 Steps, The (1935)"
101,Heavy Metal (1981)
697,"Basketball Diaries, The (1995)"
1199,Cemetery Man (Dellamorte Dellamore) (1994)
395,Robin Hood: Men in Tights (1993)
983,"Rich Man's Wife, The (1996)"
684,In the Line of Fire (1993)
971,Mediterraneo (1991)
1116,"Mark of Zorro, The (1940)"
267,unknown
556,Wild Bill (1995)
853,Braindead (1992)
311,"Wings of the Dove, The (1997)"
1073,Shallow Grave (1994)
975,Fear (1996)
361,Incognito (1997)
643,The Innocent (1994)
704,"House of the Spirits, The (1993)"
997,Stuart Saves His Family (1995)
260,Event Horizon (1997)
990,Anna Karenina (1997)
969,Winnie the Pooh and the Blustery Day (1968)
167,Private Benjamin (1980)
650,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
63,"Santa Clause, The (1994)"
965,Funny Face (1957)
652,Rosencrantz and Guildenstern Are Dead (1990)
1059,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
882,Washington Square (1997)
1164,Zeus and Roxanne (1997)
1207,Jade (1995)
786,"Perez Family, The (1995)"
614,Giant (1956)
810,"Shadow, The (1994)"
1222,Judgment Night (1993)
139,"Love Bug, The (1969)"
769,Congo (1995)
765,Boomerang (1992)
67,Ace Ventura: Pet Detective (1994)
624,"Three Caballeros, The (1945)"
1001,"Stupids, The (1996)"
797,Timecop (1994)
883,Telling Lies in America (1997)
752,"Replacement Killers, The (1998)"
1315,Inventing the Abbotts (1997)
560,"Kid in King Arthur's Court, A (1995)"
345,Deconstructing Harry (1997)
1194,Once Were Warriors (1994)
464,Vanya on 42nd Street (1994)
1348,Every Other Weekend (1990)
932,First Kid (1996)
1179,Man of the House (1995)
536,Ponette (1996)
369,Black Sheep (1996)
1250,Best of the Best 3: No Turning Back (1995)
880,Soul Food (1997)
629,Victor/Victoria (1982)
775,Something to Talk About (1995)
1289,Jack and Sarah (1995)
544,Things to Do in Denver when You're Dead (1995)
170,Cinema Paradiso (1988)
1518,Losing Isaiah (1995)
413,Tales from the Crypt Presents: Bordello of Blood (1996)
618,Picnic (1955)
326,G.I. Jane (1997)
123,"Frighteners, The (1996)"
628,Sleepers (1996)
262,In the Company of Men (1997)
31,Crimson Tide (1995)
1180,I Love Trouble (1994)
414,My Favorite Year (1982)
490,To Catch a Thief (1955)
839,Loch Ness (1995)
453,Jaws 3-D (1983)
149,Jude (1996)
1320,Homage (1995)
827,Daylight (1996)
124,Lone Star (1996)
570,Wyatt Earp (1994)
843,"Shaggy Dog, The (1959)"
844,Freeway (1996)
420,Alice in Wonderland (1951)
590,Hellraiser: Bloodline (1996)
1230,Ready to Wear (Pret-A-Porter) (1994)
1324,Loaded (1994)
895,Scream 2 (1997)
1149,Walkabout (1971)
567,Wes Craven's New Nightmare (1994)
606,All About Eve (1950)
816,Candyman: Farewell to the Flesh (1995)
672,Candyman (1992)
584,"Secret Garden, The (1993)"
521,"Deer Hunter, The (1978)"
728,Junior (1994)
689,"Jackal, The (1997)"
329,Desperate Measures (1998)
